angle_deg,normal_MPa,shear_MPa
96.0,-2.8720325781374014,-11.028098500189635
97.0,-3.2407625354608864,-10.096426606984712
98.0,-3.5767529922924086,-9.152453773194466
99.0,-3.8795945960156732,-8.197330084309007
100.0,-4.1489183807857195,-7.232219211417716
101.0,-4.38439621705695,-6.258296993455281
102.0,-4.585741211358447,-5.276750004623072
103.0,-4.752708055829476,-4.288774108731259
104.0,-4.885093327089324,-3.295573002222961
105.0,-4.982735734077343,-2.298356747655565
106.0,-5.045516314561278,-1.2983402994258721
107.0,-5.0733585800744185,-0.2967420235353131
108.0,-5.066228609105004,0.7052177868013214
109.0,-5.024135088424381,1.7063183978952094
110.0,-4.947129302503483,2.705340122859463
111.0,-4.835305071030628,3.7010658076097127
112.0,-4.6887986346066555,4.692282313778874
113.0,-4.507788488756766,5.677781996739371
114.0,-4.292495166461205,6.656364176932117
115.0,-4.043180969469793,7.626836602709561
116.0,-3.76014964872765,8.588016902910741
117.0,-3.4437460343014803,9.53873402739829
118.0,-3.094355615257207,10.477829673802821
119.0,-2.7124040700009857,11.404159698735729
120.0,-2.2983567476555744,12.316595511751864
121.0,-1.8527181011041365,13.214025450363055
122.0,-1.3760310723921527,14.095356134427533
123.0,-0.8688764312360734,14.9595137982654
124.0,-0.3318720674449895,15.805445598876508
125.0,0.23432776188302784,16.63212089866766
126.0,0.8290332294723094,17.438532521125598
127.0,1.451519778317986,18.22369797790657
128.0,2.1010290044469593,18.986660665846923
129.0,2.776769580916431,19.72649103243681
130.0,3.4779182219238467,20.442287708336693
131.0,4.2036206858537755,21.13317860555698
132.0,4.952992816039849,21.798321979963024
133.0,5.7251216179733255,22.43690745681056
134.0,6.519066371646412,23.048157018062636
135.0,7.333859777674531,23.631325950284612
136.0,8.16850913580178,24.185703751962894
137.0,9.021997554353122,24.71061499914146
138.0,9.893285189160377,25.205420168322007
139.0,10.781310510452135,25.669516415624813
140.0,11.684991596164165,26.102338311261054
141.0,12.603227450094979,26.503358528422016
142.0,13.5348993432999,26.872088485745504
143.0,14.478872177090159,27.20807894257703
144.0,15.433995865975609,27.510920546300287
145.0,16.39910673886691,27.78024433107034
146.0,17.37302895682933,28.015722167341565
147.0,18.35457594566153,28.21706716164306
148.0,19.34255184155335,28.384034006114096
149.0,20.33575294806164,28.516419277373934
150.0,21.332969202629048,28.614061684361957
151.0,22.33298565085874,28.67684226484589
152.0,23.33458392674931,28.704684530359028
153.0,24.336543737085936,28.69755455938962
154.0,25.337644348179833,28.655461038709
155.0,26.336666073144073,28.578455252788096
156.0,27.332391757894307,28.466631021315244
157.0,28.323608264063484,28.320124584891268
158.0,29.309107947023968,28.139114439041382
159.0,30.287690127216734,27.923821116745824
160.0,31.258162552994175,27.674506919754407
161.0,32.21934285319536,27.39147559901227
162.0,33.170059977682904,27.075071984586096
163.0,34.109155624087435,26.725681565541823
164.0,35.035485649020345,26.343730020285598
165.0,35.94792146203648,25.92968269794019
166.0,36.84535140064767,25.484044051388757
167.0,37.726682084712145,25.00735702267677
168.0,38.59083974855001,24.500202381520687
169.0,39.43677154916112,23.963198017729606
170.0,40.26344684895228,23.396998188401586
171.0,41.069858471410214,22.802292720812307
172.0,41.85502392819119,22.17980617196663
173.0,42.61798661613154,21.53029694583766
174.0,43.357816982721424,20.854556369368186
175.0,44.073613658621305,20.15340772836077
176.0,44.76450455584159,19.42770526443084
177.0,45.42964793024763,18.678333134244767
178.0,46.06823340709517,17.90620433231129
179.0,46.67948296834725,17.112259578638202
180.0,47.262651900569224,16.297466172610086
